"country","journal","discipline","position","n.authors","n.papers","genderRatios","low.CI.1","up.CI.1","current.rate.of.change","low.CI.2","up.CI.2","years.to.parity","low.CI.3","up.CI.3","r","c","qualitative.result"
"Japan","All journals","Biotechnology","overall",23876,6631,24.769,23.607,26.027,0.294,0.164,0.438,94.365,61.34,176.365,0.047,3.019,"Male-biased but improving"
"Malaysia","All journals","Biotechnology","overall",768,323,40.877,32.699,47.049,0.782,-0.945,1.233,NA,NA,NA,0.222,2.75,"Male-biased but improving"
"Mexico","All journals","Biotechnology","overall",1412,357,40.269,35.707,44.254,0.547,0.073,0.795,22,NA,NA,0.139,1.564,"Male-biased but improving"
"Netherlands","All journals","Biotechnology","overall",3248,834,30.326,27.479,33.362,0.917,0.587,1.219,23.365,14.365,41.365,0.155,4.663,"Male-biased but improving"
"Norway","All journals","Biotechnology","overall",726,181,32.539,24.752,38.688,-0.507,-1.84,0.389,NA,NA,NA,-0.093,0.501,"Male-biased and becoming more so"
"Poland","All journals","Biotechnology","overall",1043,293,50,49.941,50,0,0,0.029,7,NA,NA,1.756,48.683,"Essentially at parity"
"Portugal","All journals","Biotechnology","overall",2679,678,49.758,48.99,49.993,0.072,0.004,0.179,7,NA,NA,0.594,1.363,"Essentially at parity"
"Russia","All journals","Biotechnology","overall",1119,250,48.654,45.642,49.883,0.301,0.051,0.5,0,0,0,0.484,2.914,"Essentially at parity"
"Singapore","All journals","Biotechnology","overall",1257,561,34.272,28.754,39.47,0.282,-0.544,0.849,NA,NA,NA,0.047,1.37,"Male-biased but improving"
"South Korea","All journals","Biotechnology","overall",6136,3939,37.906,35.032,40.222,0.013,-0.456,0.349,NA,NA,NA,0.001,0.647,"Male-biased but improving"
"Spain","All journals","Biotechnology","overall",3730,907,44.715,42.12,46.97,0.401,0.185,0.512,16,NA,NA,0.175,1.014,"Male-biased but improving"
"Sweden","All journals","Biotechnology","overall",2786,777,35.572,31.523,38.956,0.02,-0.507,0.387,NA,NA,NA,0.003,0.837,"Male-biased but improving"
"Switzerland","All journals","Biotechnology","overall",2248,629,28.852,25.266,32.817,0.418,-0.03,0.86,NA,NA,NA,0.068,2.588,"Male-biased but improving"
"Thailand","All journals","Biotechnology","overall",774,394,49.779,16.57,49.999,0.038,-15.277,0.322,7,NA,NA,0.677,2.499,"Essentially at parity"
"Turkey","All journals","Biotechnology","overall",1963,716,50,50,51.416,0,-0.125,0,NA,NA,NA,6.524,3659.441,"Essentially at parity"
"United Kingdom","All journals","Biotechnology","overall",4127,1170,32.806,29.811,35.541,0.429,0.077,0.707,55,NA,NA,0.074,1.94,"Male-biased but improving"
"USA","All journals","Biotechnology","overall",40711,14075,32.474,31.512,33.321,0.451,0.349,0.545,40.365,31.365,55.365,0.079,2.09,"Male-biased but improving"
"Argentina","All journals","Botany","overall",1145,301,49.389,41.275,50,0.047,-1.311,0.338,7,NA,NA,0.51,1.484,"Essentially at parity"
"Australia","All journals","Botany","overall",4093,1344,29.721,27.131,32.53,-0.167,-0.602,0.267,NA,NA,NA,-0.024,1.103,"Male-biased and becoming more so"
"Austria","All journals","Botany","overall",1437,397,38.994,35.474,42.602,0.675,0.159,1.001,25,NA,NA,0.159,2.103,"Male-biased but improving"
"Belgium","All journals","Botany","overall",1948,498,34.423,30.833,37.761,0.094,-0.409,0.557,NA,NA,NA,0.016,1.038,"Male-biased but improving"
"Brazil","All journals","Botany","overall",1726,453,39.172,33.118,44.283,-1.02,-3.406,0.09,NA,NA,NA,-0.24,0.075,"Male-biased and becoming more so"
"Canada","All journals","Botany","overall",4948,1785,38.142,35.644,40.426,0.387,0.057,0.64,35,NA,NA,0.084,1.261,"Male-biased but improving"
"Chile","All journals","Botany","overall",582,159,35.899,23.126,43.765,-0.342,-6.035,0.788,NA,NA,NA,-0.066,0.45,"Male-biased and becoming more so"
"China","All journals","Botany","overall",6286,4906,43.575,39.761,46.272,0.076,-0.986,0.41,NA,NA,NA,0.023,0.356,"Male-biased but improving"
"Czech Republic","All journals","Botany","overall",1506,356,43.407,38.471,47.211,0.266,-0.709,0.573,NA,NA,NA,0.097,0.659,"Male-biased but improving"
"Denmark","All journals","Botany","overall",1302,362,40.735,36.559,44.379,0.545,0.049,0.816,24,NA,NA,0.149,1.551,"Male-biased but improving"
"Finland","All journals","Botany","overall",1087,302,50.401,50.018,51.438,-0.098,-0.239,-0.009,7,NA,NA,0.489,-0.949,"Essentially at parity"
"France","All journals","Botany","overall",10654,2649,39.156,36.961,41.302,-0.334,-0.822,0.041,NA,NA,NA,-0.077,0.288,"Male-biased and becoming more so"
"Germany","All journals","Botany","overall",11088,3260,37.047,35.522,38.629,0.378,0.19,0.54,29.365,17.365,69.365,0.079,1.35,"Male-biased but improving"
"India","All journals","Botany","overall",1754,766,31.947,28.465,35.67,0.428,-0.351,1.085,NA,NA,NA,0.071,2.038,"Male-biased but improving"
"Israel","All journals","Botany","overall",1626,458,45.489,39.491,49.317,0.277,-0.73,0.479,NA,NA,NA,0.147,0.682,"Essentially at parity"
"Italy","All journals","Botany","overall",3817,893,45.278,41.828,47.86,0.088,-0.583,0.301,NA,NA,NA,0.041,0.29,"Essentially at parity"
"Japan","All journals","Botany","overall",8266,2558,29.479,27.449,31.307,0.438,0.179,0.651,59,NA,NA,0.072,2.539,"Male-biased but improving"
"Mexico","All journals","Botany","overall",1110,356,44.257,35.669,48.877,0.18,-2.874,0.499,NA,NA,NA,0.074,0.462,"Male-biased but improving"
"Netherlands","All journals","Botany","overall",3026,854,29.485,26.418,32.711,0.439,0.04,0.823,58,NA,NA,0.073,2.548,"Male-biased but improving"
"New Zealand","All journals","Botany","overall",1083,300,36.111,30.78,41.074,0.245,-0.811,0.801,NA,NA,NA,0.041,1.085,"Male-biased but improving"
"Poland","All journals","Botany","overall",916,302,50,50,55.376,0,-0.312,0,4,NA,NA,3.118,44.948,"Essentially at parity"
"Portugal","All journals","Botany","overall",904,240,50,28.616,50.657,-0.035,-12.622,0,NA,NA,NA,0.633,-0.265,"Essentially at parity"
"Russia","All journals","Botany","overall",568,172,31.042,22.222,38.967,-1.505,-4.432,-0.002,NA,NA,NA,-0.258,0.138,"Male-biased and becoming more so"
"South Korea","All journals","Botany","overall",1075,698,40.029,34.917,44.534,0.193,-0.724,0.635,NA,NA,NA,0.048,0.735,"Male-biased but improving"
"Spain","All journals","Botany","overall",4031,1079,40.666,37.331,43.267,-0.154,-0.983,0.272,NA,NA,NA,-0.04,0.332,"Male-biased and becoming more so"
"Sweden","All journals","Botany","overall",1388,406,37.784,33.376,41.457,0.287,-0.258,0.661,NA,NA,NA,0.062,1.088,"Male-biased but improving"
"Switzerland","All journals","Botany","overall",2030,616,36.931,33.39,40.371,0.504,-0.047,0.839,31,NA,NA,0.106,1.701,"Male-biased but improving"
"United Kingdom","All journals","Botany","overall",3404,1161,31.123,27.743,34.426,-0.189,-0.662,0.216,NA,NA,NA,-0.033,0.926,"Male-biased and becoming more so"
"USA","All journals","Botany","overall",28570,11249,37.463,36.38,38.359,0.449,0.323,0.551,23.365,17.365,37.365,0.095,1.482,"Male-biased but improving"
"Australia","All journals","Brain","overall",4642,1349,40.201,37.265,43.046,0.038,-0.407,0.339,NA,NA,NA,0.01,0.525,"Male-biased but improving"
"Austria","All journals","Brain","overall",1464,331,30.512,26.222,34.742,-0.026,-0.675,0.498,NA,NA,NA,-0.004,1.231,"Male-biased and becoming more so"
"Belgium","All journals","Brain","overall",1948,435,36.042,32.651,39.717,0.451,0.025,0.798,36,NA,NA,0.093,1.655,"Male-biased but improving"
"Brazil","All journals","Brain","overall",5030,1061,50,49.955,72.473,0,-0.034,31.562,NA,NA,NA,12.039,257546.488,"Essentially at parity"
"Canada","All journals","Brain","overall",11078,3653,41.779,39.855,43.325,0.25,0.043,0.372,33,NA,NA,0.071,0.713,"Male-biased but improving"
"China","All journals","Brain","overall",4274,2888,47.332,43.996,49.999,0.264,-0.115,0.37,11,NA,NA,0.237,0.816,"Essentially at parity"
"Denmark","All journals","Brain","overall",1980,489,34.934,31.24,38.795,0.657,0.247,0.96,22.365,9.365,76.44,0.123,2.402,"Male-biased but improving"
"Finland","All journals","Brain","overall",1824,403,39.212,34.202,43.616,0.08,-0.63,0.445,NA,NA,NA,0.018,0.633,"Male-biased but improving"
"France","All journals","Brain","overall",8130,2011,41.777,39.453,43.947,0.193,-0.063,0.369,NA,NA,NA,0.059,0.634,"Male-biased but improving"
"Germany","All journals","Brain","overall",16981,4110,33.726,32.358,35.118,0.519,0.37,0.654,31.365,22.365,49.365,0.095,2.118,"Male-biased but improving"
"Hungary","All journals","Brain","overall",1138,270,39.607,34.612,43.773,0.399,-0.173,0.683,NA,NA,NA,0.095,1.174,"Male-biased but improving"
"India","All journals","Brain","overall",738,300,31.457,25.486,37.801,0.392,-0.438,1.051,NA,NA,NA,0.071,2.103,"Male-biased but improving"
"Iran","All journals","Brain","overall",723,251,42.559,37.888,46.426,1.081,0.742,1.335,3.365,0,10.365,0.355,6.614,"Male-biased but improving"
"Ireland","All journals","Brain","overall",840,228,49.843,21.267,50,0.029,-6.539,0.593,8,NA,NA,1.016,19.548,"Essentially at parity"
"Israel","All journals","Brain","overall",1433,464,48.39,30.036,49.963,0.14,-6.037,0.311,8,NA,NA,0.299,0.708,"Essentially at parity"
"Italy","All journals","Brain","overall",9669,1927,42.688,40.75,44.477,-0.038,-0.315,0.166,NA,NA,NA,-0.01,0.313,"Male-biased and becoming more so"
"Japan","All journals","Brain","overall",14087,3931,18.854,17.305,20.265,0.105,-0.07,0.27,NA,NA,NA,0.018,3.822,"Male-biased but improving"
"Mexico","All journals","Brain","overall",746,186,47.275,41.766,49.931,0.229,-0.144,0.419,10,NA,NA,0.211,0.691,"Essentially at parity"
"Netherlands","All journals","Brain","overall",5171,1383,40.642,38.495,42.755,0.763,0.596,0.882,7.365,3.365,15.365,0.202,2.47,"Male-biased but improving"
"New Zealand","All journals","Brain","overall",894,284,35.268,27.852,41.487,0.019,-0.985,0.558,NA,NA,NA,-0.001,0.836,"Male-biased but improving"
"Norway","All journals","Brain","overall",1110,271,43.126,37.831,47.009,0.555,0.115,0.768,20,NA,NA,0.195,1.616,"Male-biased but improving"
"Poland","All journals","Brain","overall",1134,293,53.601,50.859,57.786,-0.222,-0.35,0.095,10,NA,NA,0.129,-0.39,"Essentially at parity"
"Portugal","All journals","Brain","overall",1237,242,50,49.994,50,0,0,0.006,4,NA,NA,2.737,24.542,"Essentially at parity"
"South Korea","All journals","Brain","overall",1379,666,34.352,28.861,39.132,0.347,-0.258,0.808,NA,NA,NA,0.066,1.585,"Male-biased but improving"
"Spain","All journals","Brain","overall",4695,1027,46.624,44.557,48.193,0.281,0.175,0.358,12,NA,NA,0.188,0.683,"Essentially at parity"
"Sweden","All journals","Brain","overall",2506,670,43.826,40.846,46.687,0.602,0.474,0.707,2.365,0,10.365,0.233,1.927,"Male-biased but improving"
"Switzerland","All journals","Brain","overall",2792,699,35.359,31.984,38.514,0.593,0.218,0.862,36,NA,NA,0.114,2.133,"Male-biased but improving"
"Turkey","All journals","Brain","overall",1048,254,41.44,35.977,45.222,0.684,0.29,0.884,20,NA,NA,0.199,2.13,"Male-biased but improving"
"United Kingdom","All journals","Brain","overall",8025,2296,37.595,35.435,39.602,0.318,0.071,0.503,40,NA,NA,0.069,1.165,"Male-biased but improving"
"USA","All journals","Brain","overall",62667,19650,39.938,39.233,40.709,0.38,0.312,0.441,17.365,13.365,25.365,0.094,1.106,"Male-biased but improving"
"Argentina","All journals","Cardiology","overall",2789,532,21.589,18.678,24.785,0.194,-0.184,0.592,NA,NA,NA,0.033,3.454,"Male-biased but improving"
"Australia","All journals","Cardiology","overall",14931,3758,27.635,26.275,28.971,0.214,0.029,0.388,90,NA,NA,0.034,2.161,"Male-biased but improving"
"Austria","All journals","Cardiology","overall",7015,1288,26.626,24.781,28.589,0.329,0.089,0.565,85,NA,NA,0.053,2.723,"Male-biased but improving"
"Belgium","All journals","Cardiology","overall",9372,1845,25.205,23.673,26.867,0.416,0.208,0.641,66.365,41.34,134.49,0.068,3.452,"Male-biased but improving"
"Brazil","All journals","Cardiology","overall",19158,3760,31.407,30.034,32.853,0.3,0.136,0.461,73,NA,NA,0.051,1.813,"Male-biased but improving"
"Canada","All journals","Cardiology","overall",43832,9504,24.348,23.671,25.086,-0.164,-0.266,-0.065,NA,NA,NA,-0.026,1.691,"Male-biased and becoming more so"
"Chile","All journals","Cardiology","overall",1056,185,23.747,18.887,28.738,-0.175,-0.824,0.466,NA,NA,NA,-0.031,1.736,"Male-biased and becoming more so"
"China","All journals","Cardiology","overall",8789,6380,41.789,39.747,43.603,0.223,-0.101,0.449,NA,NA,NA,0.068,0.686,"Male-biased but improving"
"Czech Republic","All journals","Cardiology","overall",2702,488,21.112,18.38,24.108,0.179,-0.214,0.605,NA,NA,NA,0.029,3.464,"Male-biased but improving"
"Denmark","All journals","Cardiology","overall",10879,1778,21.535,20.127,22.905,0.35,0.139,0.565,87.365,52.365,221.39,0.058,4.281,"Male-biased but improving"
"Egypt","All journals","Cardiology","overall",834,315,24.283,18.065,30.196,-0.86,-2.379,0.384,NA,NA,NA,-0.138,0.669,"Male-biased and becoming more so"
"Finland","All journals","Cardiology","overall",5480,889,27.061,24.766,29.393,0.21,-0.08,0.498,NA,NA,NA,0.035,2.258,"Male-biased but improving"
"France","All journals","Cardiology","overall",33774,5843,22.452,21.686,23.229,-0.097,-0.206,0.009,NA,NA,NA,-0.015,2.153,"Male-biased and becoming more so"
"Germany","All journals","Cardiology","overall",63169,10827,21.743,21.106,22.416,0.428,0.348,0.517,71.365,58.365,88.365,0.07,4.652,"Male-biased but improving"
"Greece","All journals","Cardiology","overall",10986,2147,20.924,19.181,22.666,0.392,0.163,0.625,84,NA,NA,0.065,4.777,"Male-biased but improving"
"Hungary","All journals","Cardiology","overall",1326,258,23.707,19.954,27.514,0.225,-0.286,0.754,NA,NA,NA,0.038,3.019,"Male-biased but improving"
"India","All journals","Cardiology","overall",7659,3032,21.352,19.708,22.962,0.699,0.433,0.972,44.365,31.365,72.39,0.114,6.928,"Male-biased but improving"
"Indonesia","All journals","Cardiology","overall",825,153,26.799,21.962,31.539,-0.258,-1.091,0.411,NA,NA,NA,-0.04,1.212,"Male-biased and becoming more so"
"Iran","All journals","Cardiology","overall",3024,934,30.543,27.493,33.799,1.259,0.774,1.661,17.365,10.365,31.365,0.207,7.181,"Male-biased but improving"
"Ireland","All journals","Cardiology","overall",1707,346,33.524,29.104,37.537,0.195,-0.408,0.657,NA,NA,NA,0.037,1.336,"Male-biased but improving"
"Israel","All journals","Cardiology","overall",7662,1611,20.278,18.255,22.367,-0.058,-0.292,0.18,NA,NA,NA,-0.011,2.683,"Male-biased and becoming more so"
"Italy","All journals","Cardiology","overall",61556,9929,28.36,27.684,29.057,0.31,0.224,0.396,76.365,58.365,109.365,0.05,2.318,"Male-biased but improving"
"Japan","All journals","Cardiology","overall",60155,12232,13.432,12.855,14.06,0.177,0.102,0.259,171,NA,NA,0.036,7.351,"Male-biased but improving"
"Mexico","All journals","Cardiology","overall",1824,496,27.537,23.818,31.281,0.329,-0.146,0.751,NA,NA,NA,0.051,2.502,"Male-biased but improving"
"Netherlands","All journals","Cardiology","overall",31989,5625,29.437,28.449,30.47,0.975,0.86,1.088,23.365,19.365,27.365,0.161,5.316,"Male-biased but improving"
"New Zealand","All journals","Cardiology","overall",4101,771,22.674,20.765,24.64,-0.027,-0.351,0.277,NA,NA,NA,-0.004,2.323,"Male-biased and becoming more so"
"Norway","All journals","Cardiology","overall",5579,1029,27.579,25.433,29.644,0.748,0.467,1.012,33.365,22.365,58.365,0.121,4.464,"Male-biased but improving"
"Poland","All journals","Cardiology","overall",13628,2443,30.029,28.515,31.434,-0.193,-0.399,0.014,NA,NA,NA,-0.032,1.022,"Male-biased and becoming more so"
"Portugal","All journals","Cardiology","overall",11149,2319,33.449,31.524,35.439,-0.165,-0.49,0.109,NA,NA,NA,-0.028,0.778,"Male-biased and becoming more so"
"Romania","All journals","Cardiology","overall",1142,187,19.483,14.461,24.314,-4.261,-6.08,-2.443,NA,NA,NA,-0.721,0.008,"Male-biased and becoming more so"
"Russia","All journals","Cardiology","overall",1314,303,26.757,23.484,30.207,0.478,-0.215,1.105,NA,NA,NA,0.079,3.353,"Male-biased but improving"
"Saudi Arabia","All journals","Cardiology","overall",1492,420,22.001,18.425,25.643,1.979,1.238,2.875,15.365,10.365,26.365,0.322,37.089,"Male-biased but improving"
"Serbia","All journals","Cardiology","overall",1434,231,40.963,36.763,44.746,0.608,0.014,0.873,24,NA,NA,0.159,1.689,"Male-biased but improving"
"Singapore","All journals","Cardiology","overall",1608,478,26.092,22.317,29.601,-0.085,-0.723,0.489,NA,NA,NA,-0.017,1.586,"Male-biased and becoming more so"
"South Africa","All journals","Cardiology","overall",1272,286,27.614,24.342,31.123,-0.782,-1.723,0.011,NA,NA,NA,-0.124,0.573,"Male-biased and becoming more so"
"South Korea","All journals","Cardiology","overall",6841,3075,38.69,36.292,40.845,0.506,0.192,0.741,28,NA,NA,0.115,1.522,"Male-biased but improving"
"Spain","All journals","Cardiology","overall",26182,4754,31.017,29.987,31.954,0.552,0.418,0.654,51,NA,NA,0.093,2.662,"Male-biased but improving"
"Sweden","All journals","Cardiology","overall",8760,2025,26.077,24.169,28.026,0.197,-0.056,0.426,NA,NA,NA,0.031,2.368,"Male-biased but improving"
"Switzerland","All journals","Cardiology","overall",11006,2132,22.306,20.985,23.666,0.232,0.042,0.43,127,NA,NA,0.039,3.426,"Male-biased but improving"
"Turkey","All journals","Cardiology","overall",32197,7484,17.154,16.38,18.021,-0.161,-0.259,-0.053,NA,NA,NA,-0.029,3.013,"Male-biased and becoming more so"
"United Kingdom","All journals","Cardiology","overall",33010,7677,25.009,24.172,25.928,0.363,0.247,0.489,76.365,55.34,113.415,0.058,3.241,"Male-biased but improving"
"USA","All journals","Cardiology","overall",290135,71946,25.924,25.586,26.252,0.321,0.282,0.359,83.365,73.365,95.365,0.052,2.852,"Male-biased but improving"
"Argentina","All journals","Cell Biology","overall",1621,338,50,42.099,52.061,0,-3.943,0.081,0,NA,NA,0.797,0.012,"Essentially at parity"
"Australia","All journals","Cell Biology","overall",11892,2742,38.501,36.724,40.079,0.026,-0.21,0.236,NA,NA,NA,0.007,0.633,"Male-biased but improving"
"Austria","All journals","Cell Biology","overall",7032,1246,37.165,35.051,39.268,0.197,-0.081,0.418,NA,NA,NA,0.041,0.968,"Male-biased but improving"
"Belgium","All journals","Cell Biology","overall",6152,1088,43.469,41.725,45.202,0.456,0.307,0.557,4.365,0.365,12.365,0.162,1.15,"Male-biased but improving"
"Brazil","All journals","Cell Biology","overall",6899,1348,50.683,50,53.182,0,-0.101,0.282,0,NA,NA,0.011,-0.062,"Essentially at parity"
"Canada","All journals","Cell Biology","overall",24556,6076,36.179,34.968,37.413,-0.14,-0.319,0.02,NA,NA,NA,-0.027,0.61,"Male-biased and becoming more so"
"Chile","All journals","Cell Biology","overall",1240,254,39.142,33.128,44.156,0.245,-0.544,0.618,NA,NA,NA,0.061,0.92,"Male-biased but improving"
"China","All journals","Cell Biology","overall",17421,9303,48.48,46.912,49.434,0.186,0.063,0.236,8,NA,NA,0.267,0.579,"Essentially at parity"
"Czech Republic","All journals","Cell Biology","overall",2155,437,44.063,40.385,46.809,0.339,-0.091,0.519,17,NA,NA,0.126,0.786,"Male-biased but improving"
"Denmark","All journals","Cell Biology","overall",5465,1056,40.178,38.356,42.086,0.768,0.599,0.896,8.365,4.365,14.365,0.196,2.49,"Male-biased but improving"
"Finland","All journals","Cell Biology","overall",4046,806,46.951,43.174,49.345,0.191,-0.298,0.29,10,NA,NA,0.148,0.451,"Essentially at parity"
"France","All journals","Cell Biology","overall",34959,6867,43.142,41.707,44.447,-0.148,-0.42,0.031,NA,NA,NA,-0.051,0.207,"Male-biased and becoming more so"
"Germany","All journals","Cell Biology","overall",51868,10456,38.349,37.608,39.117,0.442,0.365,0.508,20.865,16.34,27.365,0.098,1.378,"Male-biased but improving"
"Greece","All journals","Cell Biology","overall",1593,334,44.428,37.746,47.959,0.178,-0.947,0.41,NA,NA,NA,0.077,0.472,"Male-biased but improving"
"Hong Kong","All journals","Cell Biology","overall",636,211,44.137,38.286,48.156,0.603,0.236,0.818,18,NA,NA,0.257,2.186,"Male-biased but improving"
"Hungary","All journals","Cell Biology","overall",2024,389,41.621,38.271,44.609,0.281,-0.167,0.511,NA,NA,NA,0.079,0.782,"Male-biased but improving"
"India","All journals","Cell Biology","overall",5967,2019,31.178,27.827,34.568,-2.039,-3.046,-1.216,NA,NA,NA,-0.345,0.068,"Male-biased and becoming more so"
"Indonesia","All journals","Cell Biology","overall",731,144,50,49.585,60.79,0,-0.081,2.321,0,NA,NA,6.136,-174.077,"Essentially at parity"
"Iran","All journals","Cell Biology","overall",2564,874,36.403,32.906,39.553,0.735,0.137,1.148,28,NA,NA,0.147,2.538,"Male-biased but improving"
"Ireland","All journals","Cell Biology","overall",2006,405,33.494,29.148,37.401,-0.775,-2.007,0.048,NA,NA,NA,-0.137,0.316,"Male-biased and becoming more so"
"Israel","All journals","Cell Biology","overall",6071,1495,45.091,41.185,47.817,-0.149,-1.137,0.137,NA,NA,NA,-0.071,0.118,"Essentially at parity"
"Italy","All journals","Cell Biology","overall",25745,4191,50.561,50,51.967,0,-0.046,0.12,0,NA,NA,-0.014,-0.036,"Essentially at parity"
"Japan","All journals","Cell Biology","overall",31401,7332,26.274,25.136,27.369,0.271,0.152,0.402,97.365,62.365,181.415,0.044,2.599,"Male-biased but improving"
"Mexico","All journals","Cell Biology","overall",1312,304,44.781,39.37,48.532,0.12,-0.71,0.364,NA,NA,NA,0.046,0.347,"Male-biased but improving"
"Netherlands","All journals","Cell Biology","overall",12305,2455,37.979,36.55,39.479,0.568,0.426,0.688,17.365,11.365,28.365,0.125,1.781,"Male-biased but improving"
"New Zealand","All journals","Cell Biology","overall",777,192,36.946,28.093,44.261,-0.299,-2.102,0.47,NA,NA,NA,-0.062,0.423,"Male-biased and becoming more so"
"Norway","All journals","Cell Biology","overall",2742,569,42.543,39.376,45.14,0.164,-0.195,0.391,NA,NA,NA,0.054,0.548,"Male-biased but improving"
"Poland","All journals","Cell Biology","overall",5557,1197,51.021,50,53.269,0,-0.122,0.063,0,NA,NA,0.032,-0.098,"Essentially at parity"
"Portugal","All journals","Cell Biology","overall",2752,564,50,49.992,51.485,0,-0.15,0.002,0,NA,NA,0.278,-0.157,"Essentially at parity"
"Romania","All journals","Cell Biology","overall",4986,1299,72.202,70.783,73.383,-1.092,-1.365,-1.084,36.365,26.365,40.365,0.068,-1.084,"Female-biased but improving"
"Russia","All journals","Cell Biology","overall",2281,525,37.669,30.218,50,-2.662,-6.758,0.111,NA,NA,NA,-0.717,0.002,"Male-biased and becoming more so"
"Saudi Arabia","All journals","Cell Biology","overall",964,200,33.891,29.461,38.489,1.652,0.866,2.331,26,NA,NA,0.301,11.71,"Male-biased but improving"
"Singapore","All journals","Cell Biology","overall",3521,1094,31.61,28.321,34.67,0.013,-0.529,0.414,NA,NA,NA,0.001,1.178,"Male-biased but improving"
"South Korea","All journals","Cell Biology","overall",5153,2408,44.83,42.635,46.62,0.446,0.294,0.541,1.365,0,9.365,0.193,1.169,"Male-biased but improving"
"Spain","All journals","Cell Biology","overall",13275,2496,46.314,43.956,48.013,0.023,-0.583,0.174,NA,NA,NA,0.009,0.171,"Essentially at parity"
"Sweden","All journals","Cell Biology","overall",7738,1756,38.558,36.101,41.005,-0.075,-0.384,0.188,NA,NA,NA,-0.015,0.52,"Male-biased and becoming more so"
"Switzerland","All journals","Cell Biology","overall",10625,2295,36.101,34.503,37.554,0.195,0.002,0.367,NA,NA,NA,0.04,1.071,"Male-biased but improving"
"Turkey","All journals","Cell Biology","overall",3385,838,45.618,41.537,48.511,0.255,-0.21,0.375,12,NA,NA,0.135,0.588,"Essentially at parity"
"United Kingdom","All journals","Cell Biology","overall",26552,6429,39.84,38.741,40.984,0.263,0.135,0.374,26.365,14.365,60.365,0.065,0.873,"Male-biased but improving"
"USA","All journals","Cell Biology","overall",213475,63674,37.973,37.564,38.384,0.272,0.232,0.311,35.365,29.365,44.365,0.059,1.038,"Male-biased but improving"
"Argentina","All journals","Chemistry Techniques, Analytical","overall",910,284,50,11.864,50,0,-12.378,0.012,5,NA,NA,2.033,16.16,"Essentially at parity"
"Australia","All journals","Chemistry Techniques, Analytical","overall",5953,1814,29.429,26.964,31.964,0.461,0.149,0.752,56,NA,NA,0.076,2.619,"Male-biased but improving"
"Austria","All journals","Chemistry Techniques, Analytical","overall",4881,1317,26.605,24.23,29.069,0.302,0.012,0.594,NA,NA,NA,0.049,2.63,"Male-biased but improving"
"Belgium","All journals","Chemistry Techniques, Analytical","overall",4376,1084,31.911,29.134,34.328,0.232,-0.1,0.518,NA,NA,NA,0.039,1.582,"Male-biased but improving"
"Brazil","All journals","Chemistry Techniques, Analytical","overall",5988,1627,36.194,32.857,39.083,-0.389,-0.941,0.045,NA,NA,NA,-0.076,0.404,"Male-biased and becoming more so"
"Canada","All journals","Chemistry Techniques, Analytical","overall",9224,3376,28.978,27.243,30.596,0.473,0.261,0.665,60,NA,NA,0.078,2.765,"Male-biased but improving"
"Chile","All journals","Chemistry Techniques, Analytical","overall",1459,384,50,43.474,50.043,0,-1.422,0.055,5,NA,NA,1.461,4.68,"Essentially at parity"
"China","All journals","Chemistry Techniques, Analytical","overall",25960,24622,49.62,49.238,49.85,0.099,0.052,0.148,0,0,0,0.521,1.2,"Essentially at parity"
"Czech Republic","All journals","Chemistry Techniques, Analytical","overall",5103,1331,38.828,36.164,41.115,0.662,0.418,0.832,13.365,6.365,29.365,0.155,2.074,"Male-biased but improving"
"Denmark","All journals","Chemistry Techniques, Analytical","overall",2438,684,27.693,24.336,30.931,0.053,-0.383,0.471,NA,NA,NA,0.008,1.726,"Male-biased but improving"
"Egypt","All journals","Chemistry Techniques, Analytical","overall",723,302,47.249,43.594,49.376,0.428,0.167,0.664,13,NA,NA,0.349,2.179,"Essentially at parity"
"Finland","All journals","Chemistry Techniques, Analytical","overall",2426,651,39.336,35.232,43.106,0.227,-0.224,0.5,NA,NA,NA,0.054,0.85,"Male-biased but improving"
"France","All journals","Chemistry Techniques, Analytical","overall",14133,3737,37.143,35.346,38.577,-0.006,-0.234,0.183,NA,NA,NA,-0.001,0.688,"Male-biased and becoming more so"
"Germany","All journals","Chemistry Techniques, Analytical","overall",19135,5588,30.592,29.328,31.809,0.815,0.671,0.942,25.865,20.365,33.365,0.137,3.967,"Male-biased but improving"
"Hungary","All journals","Chemistry Techniques, Analytical","overall",1118,339,38.324,33.207,42.982,0.202,-0.456,0.59,NA,NA,NA,0.046,0.896,"Male-biased but improving"
"India","All journals","Chemistry Techniques, Analytical","overall",4138,1969,23.809,21.388,26.23,-0.415,-0.772,-0.043,NA,NA,NA,-0.068,1.257,"Male-biased and becoming more so"
"Iran","All journals","Chemistry Techniques, Analytical","overall",2721,1137,34.8,31.54,37.791,1.262,0.917,1.524,29,NA,NA,0.242,6.465,"Male-biased but improving"
"Ireland","All journals","Chemistry Techniques, Analytical","overall",1859,483,30.24,25.463,34.667,0.221,-0.396,0.758,NA,NA,NA,0.037,1.765,"Male-biased but improving"
"Israel","All journals","Chemistry Techniques, Analytical","overall",955,314,36.601,29.488,42.449,0.175,-0.644,0.625,NA,NA,NA,0.035,0.972,"Male-biased but improving"
"Italy","All journals","Chemistry Techniques, Analytical","overall",12472,2591,47.843,46.011,49.056,0.201,0.107,0.248,8,NA,NA,0.205,0.499,"Essentially at parity"
